Timestamp,BPMS:L0B:0183:FW:X_SLOW,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF01:AI_MEAS1,SCOP:AMRF:RF01:AI_MEAS1,TORO:GUNB:360:CHRG,TORO:GUNB:360:CHRG,TORO:GUNB:360:CHRG,BPMS:GUNB:925:FW:X_SLOW,BPMS:GUNB:925:FW:X_SLOW
2024/05/19 21:39:30.071,N/A,-0.109,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:39:30.117,N/A,N/A,-0.113,-0.113,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:39:30.275,2.7201690673828125,N/A,N/A,N/A,N/A,N/A,N/A,0.609730224609375,0.609730224609375
2024/05/19 21:40:49.179,N/A,N/A,N/A,N/A,0.01335841789841652,0.01335841789841652,0.01335841789841652,N/A,N/A
2024/05/19 21:40:58.979,N/A,N/A,N/A,N/A,0.050776731222867966,0.050776731222867966,0.050776731222867966,N/A,N/A
2024/05/19 21:41:08.779,N/A,N/A,N/A,N/A,0.036126092076301575,0.036126092076301575,0.036126092076301575,N/A,N/A
2024/05/19 21:41:18.579,N/A,N/A,N/A,N/A,0.016856340691447258,0.016856340691447258,0.016856340691447258,N/A,N/A
2024/05/19 21:41:28.379,N/A,N/A,N/A,N/A,0.03076283261179924,0.03076283261179924,0.03076283261179924,N/A,N/A
2024/05/19 21:41:48.099,N/A,N/A,N/A,N/A,0.026440558955073357,0.026440558955073357,0.026440558955073357,N/A,N/A
2024/05/19 21:41:57.779,N/A,N/A,N/A,N/A,0.0500989705324173,0.0500989705324173,0.0500989705324173,N/A,N/A
2024/05/19 21:42:07.679,N/A,N/A,N/A,N/A,0.02861928567290306,0.02861928567290306,0.02861928567290306,N/A,N/A
2024/05/19 21:42:14.131,0.0886688232421875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:14.229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.199677734375,-0.199677734375
2024/05/19 21:42:14.760,N/A,N/A,-0.127,-0.127,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:16.758,N/A,N/A,-0.111,-0.111,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:17.379,N/A,N/A,N/A,N/A,59.49656677246094,59.49656677246094,59.49656677246094,N/A,N/A
2024/05/19 21:42:19.129,0.028564453125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:19.227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.203243408203125,-0.203243408203125
2024/05/19 21:42:19.589,N/A,-0.119,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:22.079,N/A,-0.111,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:24.198,N/A,N/A,-0.115,-0.115,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:24.323,0.1303253173828125,N/A,N/A,N/A,N/A,N/A,N/A,-0.16446670532226562,-0.16446670532226562
2024/05/19 21:42:27.279,N/A,N/A,N/A,N/A,0.026964697986841202,0.026964697986841202,0.026964697986841202,N/A,N/A
2024/05/19 21:42:29.889,N/A,N/A,-0.127,-0.127,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:30.918,N/A,N/A,-0.137,-0.137,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:34.123,0.158294677734375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:34.221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16357528686523437,-0.16357528686523437
2024/05/19 21:42:34.671,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:36.191,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:36.979,N/A,N/A,N/A,N/A,53.85565185546875,53.85565185546875,53.85565185546875,N/A,N/A
2024/05/19 21:42:39.121,0.163055419921875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:39.219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.20992904663085937,-0.20992904663085937
2024/05/19 21:42:39.789,N/A,N/A,-0.121,-0.121,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:43.237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.18675216674804687,-0.18675216674804687
2024/05/19 21:42:44.119,0.09283447265625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:44.755,N/A,N/A,-0.123,-0.123,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:44.963,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:46.779,N/A,N/A,N/A,N/A,57.297977447509766,57.297977447509766,57.297977447509766,N/A,N/A
2024/05/19 21:42:49.117,0.1469879150390625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:49.215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.23087738037109376,-0.23087738037109376
2024/05/19 21:42:49.913,N/A,-0.121,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:50.392,N/A,-0.119,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:53.233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16847808837890627,-0.16847808837890627
2024/05/19 21:42:54.115,0.201141357421875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:54.801,N/A,N/A,-0.121,-0.121,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:56.579,N/A,N/A,N/A,N/A,59.916202545166016,59.916202545166016,59.916202545166016,N/A,N/A
2024/05/19 21:42:59.113,0.105926513671875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:59.211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.15243255615234375,-0.15243255615234375
2024/05/19 21:42:59.378,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:42:59.732,N/A,N/A,-0.127,-0.127,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:00.230,N/A,N/A,-0.129,-0.129,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:04.111,0.0839080810546875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:04.209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.12123291015625,-0.12123291015625
2024/05/19 21:43:04.798,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:05.278,N/A,-0.113,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:06.379,N/A,N/A,N/A,N/A,53.59975051879883,53.59975051879883,53.59975051879883,N/A,N/A
2024/05/19 21:43:09.109,0.1362762451171875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:09.207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.228203125,-0.228203125
2024/05/19 21:43:09.766,N/A,N/A,-0.119,-0.119,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:14.107,0.12139892578125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:14.165,N/A,N/A,-0.125,-0.125,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:14.303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16535812377929687,-0.16535812377929687
2024/05/19 21:43:14.969,N/A,-0.111,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:16.179,N/A,N/A,N/A,N/A,53.689674377441406,53.689674377441406,53.689674377441406,N/A,N/A
2024/05/19 21:43:19.105,0.144012451171875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:19.301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.21572326660156252,-0.21572326660156252
2024/05/19 21:43:19.850,N/A,-0.119,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:24.103,0.15948486328125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:24.299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.174718017578125,-0.174718017578125
2024/05/19 21:43:24.935,N/A,N/A,-0.115,-0.115,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:25.979,N/A,N/A,N/A,N/A,53.27139663696289,53.27139663696289,53.27139663696289,N/A,N/A
2024/05/19 21:43:28.986,N/A,N/A,-0.113,-0.113,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:29.101,0.0958099365234375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:29.297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.11009017944335937,-0.11009017944335937
2024/05/19 21:43:29.661,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:34.099,0.0815277099609375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:34.295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.1796208190917969,-0.1796208190917969
2024/05/19 21:43:34.609,N/A,-0.105,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:35.779,N/A,N/A,N/A,N/A,50.392433166503906,50.392433166503906,50.392433166503906,N/A,N/A
2024/05/19 21:43:39.097,0.1190185546875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:39.293,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.21661468505859377,-0.21661468505859377
2024/05/19 21:43:39.950,N/A,N/A,-0.125,-0.125,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:42.889,N/A,N/A,-0.111,-0.111,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:44.008,N/A,-0.113,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:44.095,0.1505584716796875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:44.291,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.17026092529296877,-0.17026092529296877
2024/05/19 21:43:49.005,N/A,-0.107,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:49.093,0.2112579345703125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:49.289,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.24826004028320314,-0.24826004028320314
2024/05/19 21:43:54.091,0.115447998046875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:54.287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.18675216674804687,-0.18675216674804687
2024/05/19 21:43:54.738,N/A,N/A,-0.119,-0.119,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:55.379,N/A,N/A,N/A,N/A,54.62762451171875,54.62762451171875,54.62762451171875,N/A,N/A
2024/05/19 21:43:57.776,N/A,N/A,-0.127,-0.127,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:59.089,0.2374420166015625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:43:59.187,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.21215759277343751,-0.21215759277343751
2024/05/19 21:43:59.869,N/A,-0.113,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:02.803,N/A,-0.119,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:04.087,0.0113067626953125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:04.283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16402099609375,-0.16402099609375
2024/05/19 21:44:05.179,N/A,N/A,N/A,N/A,60.04551696777344,60.04551696777344,60.04551696777344,N/A,N/A
2024/05/19 21:44:09.085,0.144012451171875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:09.281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.2228546142578125,-0.2228546142578125
2024/05/19 21:44:09.654,N/A,N/A,-0.127,-0.127,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:09.723,N/A,-0.111,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:12.113,N/A,N/A,-0.125,-0.125,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:14.083,0.1815032958984375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:14.279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.19031784057617188,-0.19031784057617188
2024/05/19 21:44:14.642,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:14.979,N/A,N/A,N/A,N/A,58.26972961425781,58.26972961425781,58.26972961425781,N/A,N/A
2024/05/19 21:44:17.103,N/A,-0.109,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:19.081,0.05712890625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:19.277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.174718017578125,-0.174718017578125
2024/05/19 21:44:24.177,0.1124725341796875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:24.275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.14663833618164063,-0.14663833618164063
2024/05/19 21:44:24.491,N/A,N/A,-0.133,-0.133,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:24.879,N/A,N/A,N/A,N/A,0.05520159378647804,0.05520159378647804,0.05520159378647804,N/A,N/A
2024/05/19 21:44:27.039,N/A,N/A,-0.119,-0.119,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:29.175,0.084503173828125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:29.273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16669525146484376,-0.16669525146484376
2024/05/19 21:44:29.792,N/A,-0.107,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:32.213,0.0946197509765625,N/A,N/A,N/A,N/A,N/A,N/A,-0.1729351806640625,-0.1729351806640625
2024/05/19 21:44:32.474,N/A,N/A,-0.119,-0.119,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:32.787,N/A,-0.113,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:34.679,N/A,N/A,N/A,N/A,0.043063849210739136,0.043063849210739136,0.043063849210739136,N/A,N/A
2024/05/19 21:44:39.171,0.077362060546875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:39.269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16936950683593752,-0.16936950683593752
2024/05/19 21:44:39.802,N/A,N/A,-0.131,-0.131,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:41.767,N/A,N/A,-0.115,-0.115,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:44.169,0.1904296875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:44.267,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.18764358520507812,-0.18764358520507812
2024/05/19 21:44:44.379,N/A,N/A,N/A,N/A,55.345603942871094,55.345603942871094,55.345603942871094,N/A,N/A
2024/05/19 21:44:44.483,N/A,-0.117,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:46.512,N/A,-0.113,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:49.167,0.151153564453125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:49.265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.18853500366210937,-0.18853500366210937
2024/05/19 21:44:54.067,0.14996337890625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:54.179,N/A,N/A,N/A,N/A,50.647064208984375,50.647064208984375,50.647064208984375,N/A,N/A
2024/05/19 21:44:54.263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.22508316040039064,-0.22508316040039064
2024/05/19 21:44:54.528,N/A,N/A,-0.113,-0.113,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:56.089,N/A,N/A,-0.139,-0.139,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:59.163,0.129730224609375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:44:59.261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.15555252075195314,-0.15555252075195314
2024/05/19 21:44:59.907,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:01.898,N/A,-0.111,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:03.979,N/A,N/A,N/A,N/A,51.510982513427734,51.510982513427734,51.510982513427734,N/A,N/A
2024/05/19 21:45:04.161,0.246368408203125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:04.259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.17560943603515625,-0.17560943603515625
2024/05/19 21:45:09.159,0.1761474609375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:09.257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.23845443725585938,-0.23845443725585938
2024/05/19 21:45:09.954,N/A,N/A,-0.129,-0.129,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:10.992,N/A,N/A,-0.129,-0.129,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:13.879,N/A,N/A,N/A,N/A,0.0309553612023592,0.0309553612023592,0.0309553612023592,N/A,N/A
2024/05/19 21:45:14.157,0.1184234619140625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:14.167,N/A,-0.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:14.255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.13415847778320314,-0.13415847778320314
2024/05/19 21:45:16.676,N/A,-0.119,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:19.155,0.113067626953125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:19.253,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.16892379760742188,-0.16892379760742188
2024/05/19 21:45:23.579,N/A,N/A,N/A,N/A,52.746089935302734,52.746089935302734,52.746089935302734,N/A,N/A
2024/05/19 21:45:24.153,0.127349853515625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:24.251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.1992320251464844,-0.1992320251464844
2024/05/19 21:45:24.947,N/A,N/A,-0.119,-0.119,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:25.427,N/A,N/A,-0.115,-0.115,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:29.151,0.0696258544921875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:29.249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.20903762817382812,-0.20903762817382812
2024/05/19 21:45:29.927,N/A,-0.109,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024/05/19 21:45:30.905,N/A,-0.111,N/A,N/A,N/A,N/A,N/A,N/A,N/A
